startdate,enddate,status,progress,durationinseconds,finished,recordeddate,responseid,externalreference,distributionchannel,userlanguage,prolific_pid,empstat
2023-02-06 10:23:02,2023-02-06 10:23:12,0,100,10,1,2023-02-06 10:23:12,R_3F4zl6pV8Y4K5LX,*******,anonymous,EN,70f2489a39f51d24247f75db318ee111d91a2f305e2a1fa008d1ac325bea2c69,1
2023-02-05 18:16:08,2023-02-05 18:16:14,0,100,5,1,2023-02-05 18:16:14,R_9mhFwcSP1xCDylr,*******,anonymous,EN,5256b1d944e7bdad3088010814f4f1d0b174b4dbcb56d449e705060fa02d0cab,1
2023-02-08 12:54:23,2023-02-08 12:54:33,0,100,9,1,2023-02-08 12:54:34,R_1mI6VQb4NC4GfdU,*******,anonymous,EN,157da616136f07132d41f24d902282d95af32c1a64963d030dcd93e2b1e686e7,4
2023-02-05 18:27:09,2023-02-05 18:28:04,0,100,54,1,2023-02-05 18:28:05,R_1IJYr714SLVtpUo,*******,anonymous,EN,d31dbf37b2ff6e194ff1d4d5761403bc2804eb72a9cc343a9d9f013642019aa6,1
2023-02-05 16:20:00,2023-02-05 16:20:05,0,100,4,1,2023-02-05 16:20:05,R_AI56SLWeUj3ArCN,*******,anonymous,EN,8d808789ac46b63d17f7ba7e0d02e3995a5d5884f66747f3a99febbc5fe821de,1
2023-02-06 04:37:35,2023-02-06 04:38:01,0,100,25,1,2023-02-06 04:38:01,R_3qIJyjgXRn2eXog,*******,anonymous,EN,5a71b75b52c0bd7e458785655b5427470bc74b74186de7b36cad6998eeabbe78,1
2023-02-05 14:48:32,2023-02-05 14:48:42,0,100,10,1,2023-02-05 14:48:43,R_21iUtyu7HpkLDCg,*******,anonymous,EN,ab9d1f48de91b08824b55a3b070b9a4347c4d4e27c750649cc089657fdf1ab31,1
2023-02-05 16:04:34,2023-02-05 16:04:43,0,100,9,1,2023-02-05 16:04:43,R_2bIXwMfgo9Zhcs3,*******,anonymous,EN,85837fb9048c10115b3e5c0be1ae1277e04d452641cfac0a46bfbac2b406c4bd,1
2023-02-05 19:36:49,2023-02-05 19:37:20,0,100,30,1,2023-02-05 19:37:20,R_sNVTkVGQQYeSZod,*******,anonymous,EN,c9574044dac53f61336c3e6ade8a46ea6c1b4be8b67495b48b2bcd440cf24677,1
2023-02-06 18:52:30,2023-02-06 18:52:43,0,100,12,1,2023-02-06 18:52:43,R_QoaW0GCUtnCCTcJ,*******,anonymous,EN,1a4dbc56e0a5767c5731699ffede2b5861c76c8b4d87b9a6ff713c775449e33c,1
2023-02-05 15:03:16,2023-02-05 15:03:22,0,100,5,1,2023-02-05 15:03:22,R_Ufqr6uJvVF2y1fH,*******,anonymous,EN,a4fa061f174b79bb842d9493a076faac424e000c0c963b2f2eee75f092d7b35e,1
2023-02-05 17:25:30,2023-02-05 17:25:37,0,100,7,1,2023-02-05 17:25:37,R_2sNhp0cCsdS6sXT,*******,anonymous,EN,3aa341cb3a10f3f0b5b469bb513b4aecd6cc207d6958eda59ae4ccd743d8bd38,1
2023-02-05 16:30:32,2023-02-05 16:30:39,0,100,6,1,2023-02-05 16:30:39,R_1ffICCSaWuxSIx2,*******,anonymous,EN,189869f03a2064be9d3304dd85f89700b99d41905b7f51a889fbf8967c68ad16,1
2023-02-05 15:19:36,2023-02-05 15:19:45,0,100,9,1,2023-02-05 15:19:45,R_1MPRm6K3fe9798T,*******,anonymous,EN,325ea4cb6d9496fcbb1a235c4a177a017f5cd80075b283846a954fe1b70b17c5,1
2023-02-05 19:31:32,2023-02-05 19:31:38,0,100,6,1,2023-02-05 19:31:39,R_3afgvBgBMC9rBeh,*******,anonymous,EN,4b6901a1f60fffa18985018badfafe28d9f251a851bc30ac95ffad98aa6afecc,2
2023-02-05 16:26:44,2023-02-05 16:26:53,0,100,8,1,2023-02-05 16:26:53,R_2yef8kBlVFrIuV5,*******,anonymous,EN,08f76d2a25b7aaf8e295c211d461f485addeb73b4bc1e016e30477ddc966363e,2
2023-02-05 15:23:42,2023-02-05 15:23:49,0,100,6,1,2023-02-05 15:23:49,R_3FWI5IF1JwtnE59,*******,anonymous,EN,f31b65c9ef3677b6ccc9f223f21ef4c2c31a0488a96982f72b5fa34bbc2edf1e,1
2023-02-09 09:23:28,2023-02-09 09:23:34,0,100,5,1,2023-02-09 09:23:34,R_1oEZeyJ9Qmjax2E,*******,anonymous,EN,5b0f8245a01da50ea9afa12233127dc2a5c04dc37d57451f1df1995ccc853638,1
2023-02-05 16:50:19,2023-02-05 16:50:29,0,100,9,1,2023-02-05 16:50:29,R_1mFbOSSKpUzb9h2,*******,anonymous,EN,c0a70a96868e00cfeea2f4b307810ca4c0c7363fd6a42fcb5b8e9e535e9779c4,2
2023-02-05 19:17:27,2023-02-05 19:17:47,0,100,19,1,2023-02-05 19:17:47,R_1ImZm8Ccc7slkSY,*******,anonymous,EN,26acc360ea233f4cfe7597c2552c31237f183701b2c0841e3bf45b60da3eeb6b,1
2023-02-08 07:52:50,2023-02-08 07:52:56,0,100,6,1,2023-02-08 07:52:56,R_3symwtCPI10mglk,*******,anonymous,EN,564470411114823121ef0812dfca2537bb490d290b6dc436fa73b0d19945470a,1
2023-02-05 15:15:49,2023-02-05 15:15:55,0,100,6,1,2023-02-05 15:15:56,R_1eY3b5giNjCADmz,*******,anonymous,EN,763ed439466b4217d22477b159613e5a2632e415b05b538405a9b0ab2e1f074c,1
2023-02-06 11:16:59,2023-02-06 11:17:06,0,100,6,1,2023-02-06 11:17:06,R_vCV0susCqKImeHf,*******,anonymous,EN,3b49eb99a6c3f985c9fa91d39213385bec2f5c40399c116e51d697db83be1ded,1
2023-02-05 15:01:30,2023-02-05 15:01:40,0,100,9,1,2023-02-05 15:01:40,R_2aXk3OKQVNxwHR5,*******,anonymous,EN,65027f45b1bf2738194723822f03750906b61c3ba23927d383045aeb562f6b8b,2
2023-02-05 14:59:23,2023-02-05 14:59:29,0,100,5,1,2023-02-05 14:59:29,R_3KDhIrwqsduoKWo,*******,anonymous,EN,cf8b870ccef27604e15c12a13555452c8d0eee1ffb6cce4d7ff296e0b31bab7b,1
2023-02-05 15:35:48,2023-02-05 15:35:54,0,100,5,1,2023-02-05 15:35:54,R_2pKThWmCwixVi0t,*******,anonymous,EN,9c071d662d5cdf5ce02bc970a148ef6328f98a4183d7b651ffdbecb92be3b033,1
